City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,butaritari,3.0707,172.7902,81.05,81,100,21.61,KI,1675824661
84,kapaa,22.0752,-159.319,79.12,86,75,16.11,US,1675824577
85,atasu,48.6814,71.6433,3.97,95,100,5.59,KZ,1675824662
86,ciudad guayana,8.3533,-62.6528,73.53,97,2,6.15,VE,1675824664
87,khatanga,71.9667,102.5,-47.51,100,63,2.93,RU,1675824665
88,tasiilaq,65.6145,-37.6368,-0.24,39,0,26.84,GL,1675824667
89,camapua,-19.5314,-54.0439,69.24,94,100,0.13,BR,1675824667
90,camopi,3.1655,-52.3158,71.65,99,100,1.79,GF,1675824668
91,nikolskoye,59.7035,30.7861,30.09,86,100,10.04,RU,1675824669
92,arandis,-22.4167,14.9667,64.31,81,32,4.59,NA,1675824669
93,rikitea,-23.1203,-134.9692,79.84,69,37,9.04,PF,1675824462
94,gorontalo,0.5412,123.0595,74.34,94,100,4.9,ID,1675824671
95,la palma,33.8464,-118.0467,63.91,55,20,1.01,US,1675824673
96,georgetown,5.4112,100.3354,84.13,78,20,11.5,MY,1675824639
97,geraldton,-28.7667,114.6,88.21,33,0,8.05,AU,1675824673
98,saint-philippe,-21.3585,55.7679,78.39,83,89,13.35,RE,1675824674
99,marzuq,14.4,46.4667,61.43,53,6,5.14,YE,1675824675
100,shillong,25.5689,91.8831,54.39,50,97,3.02,IN,1675824676
101,takayama,36.1333,137.25,43.03,74,74,2.42,JP,1675824678
102,cortes,41.9395,-1.4396,39.25,87,99,13.58,ES,1675824679
103,severo-kurilsk,50.6789,156.125,24.91,55,15,9.57,RU,1675824680
104,srednekolymsk,67.45,153.6833,-26.55,95,100,5.5,RU,1675824681
105,namatanai,-3.6667,152.4333,85.73,64,92,10.67,PG,1675824682
106,kitgum,3.2783,32.8867,69.66,44,1,2.3,UG,1675824683
107,arraial do cabo,-22.9661,-42.0278,74.75,92,100,2.33,BR,1675824684
108,husavik,66.0449,-17.3389,23.34,72,91,14.76,IS,1675824685
109,zhuhai,22.2769,113.5678,71.85,88,40,10.36,CN,1675824686
110,viedma,-40.8135,-62.9967,67.14,62,37,8.37,AR,1675824688
111,jinchang,38.4953,102.1739,25.97,82,100,3.0,CN,1675824690
112,saint-augustin,51.226,-58.6502,-3.23,87,15,5.03,CA,1675824692
113,punta arenas,-53.15,-70.9167,51.91,82,0,4.61,CL,1675824692
114,avarua,-21.2078,-159.775,84.25,74,34,10.36,CK,1675824655
115,gwadar,25.1216,62.3254,70.65,66,2,4.5,PK,1675824693
116,samarai,-10.6167,150.6667,82.54,76,100,14.83,PG,1675824693
117,san patricio,28.017,-97.5169,71.89,82,92,13.49,US,1675824694
118,east london,-33.0153,27.9116,70.66,83,100,10.27,ZA,1675824694
119,upata,8.0086,-62.3989,70.2,92,0,4.18,VE,1675824694
120,longyearbyen,78.2186,15.6401,24.64,80,40,20.71,SJ,1675824695
121,norman wells,65.282,-126.8329,-9.36,77,75,0.0,CA,1675824695
122,pergamino,-33.89,-60.5736,75.18,27,0,6.89,AR,1675824503
123,luanda,-8.8368,13.2343,76.24,80,100,7.7,AO,1675824696
124,pisco,-13.7,-76.2167,75.25,83,0,11.5,PE,1675824696
125,malakal,9.5334,31.6605,73.09,17,0,10.16,SS,1675824697
126,mahebourg,-20.4081,57.7,79.25,83,40,11.5,MU,1675824697
127,avera,33.194,-82.5271,48.9,59,66,4.05,US,1675824698
128,raga,8.4596,25.678,68.99,20,6,7.78,SS,1675824698
129,tura,25.5198,90.2201,68.07,41,96,1.9,IN,1675824699
130,conceicao do araguaia,-8.2578,-49.2647,73.06,93,83,2.86,BR,1675824700
131,pachino,36.7186,15.0907,47.21,66,100,18.05,IT,1675824700
132,sitka,57.0531,-135.33,37.29,81,100,0.0,US,1675824701
133,whangamata,-37.2,175.8667,79.02,55,67,10.67,NZ,1675824701
134,caravelas,-17.7125,-39.2481,76.82,83,6,7.0,BR,1675824701
135,chernyshevskiy,63.0128,112.4714,-22.74,96,100,0.43,RU,1675824702
136,isangel,-19.55,169.2667,86.11,79,100,3.44,VU,1675824702
137,kourou,5.1552,-52.6478,77.05,93,93,6.98,GF,1675824702
138,porto walter,-8.2686,-72.7439,71.69,96,97,0.94,BR,1675824703
139,hobart,-42.8794,147.3294,62.46,69,75,13.8,AU,1675824412
140,shache,38.4167,77.2406,29.43,62,0,4.16,CN,1675824703
141,souillac,-20.5167,57.5167,79.18,83,40,11.5,MU,1675824704
142,havre-saint-pierre,50.2334,-63.5986,19.76,73,100,11.5,CA,1675824704
143,kirakira,-10.4544,161.9205,82.33,83,100,9.42,SB,1675824704
144,ulaangom,49.9811,92.0667,-11.42,96,100,0.81,MN,1675824705
145,sao filipe,14.8961,-24.4956,68.23,69,20,9.82,CV,1675824705
146,victoria,22.2855,114.1577,66.96,84,97,11.01,HK,1675824672
147,ilulissat,69.2167,-51.1,-16.58,76,75,6.91,GL,1675824706
148,krasnoyarskiy,51.965,59.8967,-3.95,100,99,7.67,RU,1675824706
149,hithadhoo,-0.6,73.0833,81.19,72,15,7.52,MV,1675824706
150,dikson,73.5069,80.5464,-6.27,91,100,22.73,RU,1675824707
151,limoges,45.75,1.3333,36.16,64,0,9.22,FR,1675824478
152,coquimbo,-29.9533,-71.3436,64.13,88,75,4.61,CL,1675824480
153,majene,-3.5403,118.9707,88.14,56,59,6.6,ID,1675824707
154,elliot lake,46.3834,-82.6331,25.48,88,90,8.63,CA,1675824708
155,nefteyugansk,61.0998,72.6035,-22.81,100,57,5.48,RU,1675824708
156,talnakh,69.4865,88.3972,-11.79,98,98,7.38,RU,1675824709
157,nanortalik,60.1432,-45.2371,4.53,73,9,18.95,GL,1675824709
158,yuzhnyy,53.2542,83.6936,-0.02,78,75,6.71,RU,1675824709
159,dom pedrito,-30.9828,-54.6731,74.44,54,0,11.3,BR,1675824710
160,qasigiannguit,68.8193,-51.1922,-16.35,99,99,2.73,GL,1675824710
161,erzin,36.9559,36.2,33.76,58,97,4.54,TR,1675824710
162,senanga,-16.1167,23.2667,65.88,97,100,4.34,ZM,1675824711
163,berlevag,70.8578,29.0864,35.6,75,20,21.85,NO,1675824711
164,coahuayana,18.7333,-103.6833,71.26,91,18,2.35,MX,1675824711
165,mehran,33.1222,46.1646,49.68,64,68,4.32,IR,1675824442
166,touros,-5.1989,-35.4608,77.68,74,100,11.97,BR,1675824712
167,siyabuswa,-25.1132,29.0445,69.19,68,47,4.61,ZA,1675824712
168,homer,59.6425,-151.5483,26.49,72,75,18.41,US,1675824713
169,lavrentiya,65.5833,-171.0,-14.75,92,97,2.93,RU,1675824713
170,kununurra,-15.7667,128.7333,96.78,46,5,8.05,AU,1675824713
171,yamandu,7.9362,-11.4928,72.07,79,69,1.16,SL,1675824714
172,kodiak,57.79,-152.4072,27.91,50,0,16.11,US,1675824714
173,mokhsogollokh,61.4681,128.9203,-29.87,96,100,1.5,RU,1675824714
174,saint-pierre,-21.3393,55.4781,78.48,78,0,11.5,RE,1675824715
175,kaeo,-35.1,173.7833,78.33,65,38,7.25,NZ,1675824715
176,foundiougne,14.1333,-16.4667,71.64,23,85,12.5,SN,1675824715
177,gbarnga,6.9956,-9.4722,71.2,99,100,1.34,LR,1675824716
178,korla,41.7597,86.1469,31.32,81,13,2.62,CN,1675824716
179,bilibino,68.0546,166.4372,-33.48,98,100,2.48,RU,1675824717
180,londoko,49.0333,131.9833,3.43,59,1,10.27,RU,1675824717
181,huadian,42.9633,126.7478,16.92,75,4,9.06,CN,1675824717
182,zhireken,52.8249,117.3076,3.45,75,8,2.91,RU,1675824718
183,ambon,-3.6954,128.1814,91.54,55,20,8.05,ID,1675824718
184,vila franca do campo,37.7167,-25.4333,55.81,78,92,10.11,PT,1675824718
185,salinopolis,-0.6136,-47.3561,78.35,86,100,9.24,BR,1675824719
